"","X","year","EU","country","avgIGO","fdi","income","incomeGrowth","loan","polity","pop","rank","corruptControl","stateFragility","elecDem","interact","income.f","polity.f","loan.f"
"35","35",2006,0,"Mexico",87,2.118514061,9.621322632,0.003522933,0,8,1113.82857,77,-0.26116991,73.1,0.7,0.028183464,"Moderately High","Democratic","No Debt"
"36","36",2007,0,"Mexico",87,3.14158082,9.637414932,0.001672566,0,8,1131.39374,79,-0.272644699,72.6,0.675,0.01338053,"Moderately High","Democratic","No Debt"
"37","37",2008,0,"Mexico",87,2.900025368,9.635045052,-0.000245904,0.528524399,8,1149.72821,79,-0.244697198,72.2,0.686,-0.001967234,"Moderately High","Democratic","Low Debt"
"38","38",2009,0,"Mexico",87,2.16262579,9.570545197,-0.006694297,1.12689352,8,1168.15612,78,-0.30102241,75.4,0.687,-0.053554378,"Moderately High","Democratic","Low Debt"
"39","39",2010,0,"Mexico",87,1.984805942,9.605922699,0.003696498,1.178063512,8,1186.17542,80,-0.361549199,76.1,0.669,0.029571986,"Moderately High","Democratic","Low Debt"
"40","40",2011,0,"Mexico",87,2.062156439,9.629742622,0.002479712,1.15125525,8,1203.65271,84,-0.402119786,75.1,0.669,0.019837698,"Moderately High","Democratic","Low Debt"
"41","41",2012,0,"Mexico",87,1.474440217,9.655265808,0.002650453,1.224406362,8,1220.70963,80,-0.411823899,73.6,0.653,0.021203628,"Moderately High","Democratic","Low Debt"
"42","42",2006,0,"Guatemala",67,2.101467848,8.74394989,0.00337552,2.122079134,8,134.90041,163,-0.805733502,84.3,0.633,0.027004162,"Moderately Low","Democratic","High Debt"
"43","43",2007,0,"Guatemala",67,2.518680096,8.782538414,0.004413168,2.16838932,8,137.97629,161,-0.742176175,81.4,0.619,0.035305347,"Moderately Low","Democratic","High Debt"
"44","44",2008,0,"Guatemala",67,1.919184327,8.79267025,0.001153634,2.058972836,8,141.06687,168,-0.647653222,80.6,0.611,0.009229073,"Moderately Low","Democratic","High Debt"
"45","45",2009,0,"Guatemala",67,1.84569037,8.776087761,-0.001885945,2.94724679,8,144.18033,167,-0.526855886,80.6,0.603,-0.015087557,"Moderately Low","Democratic","High Debt"
"46","46",2010,0,"Guatemala",67,2.045541763,8.782817841,0.000766866,3.319157362,8,147.32261,168,-0.532209218,81.2,0.588,0.006134924,"Moderately Low","Democratic","High Debt"
"47","47",2011,0,"Guatemala",67,2.391486645,8.802303314,0.00221859,2.921275139,8,150.4928,169,-0.527978003,80.1,0.577,0.017748721,"Moderately Low","Democratic","High Debt"
"48","48",2012,0,"Guatemala",67,2.507793665,8.810564995,0.000938582,2.767717361,8,153.68759,168,-0.658761322,79.4,0.571,0.007508653,"Moderately Low","Democratic","High Debt"
"49","49",2006,0,"Honduras",65,6.618787766,8.326955795,0.005474148,3.221530199,7,70.07029,143,-0.83194679,76.7,0.534,0.038319036,"Low","Democratic","High Debt"
"50","50",2007,0,"Honduras",65,7.876878262,8.369077682,0.005058498,3.268729925,7,71.33737,139,-0.788445771,74.8,0.567,0.035409484,"Moderately Low","Democratic","High Debt"
"51","51",2008,0,"Honduras",65,8.707924843,8.393054008,0.002864871,3.253410101,7,72.5947,140,-0.904884517,74.9,0.562,0.020054094,"Moderately Low","Democratic","High Debt"
"52","52",2009,0,"Honduras",65,3.389872074,8.351548195,-0.004945258,3.442880154,7,73.83098,146,-0.904352129,77.2,0.479,-0.034616806,"Moderately Low","Democratic","High Debt"
"53","53",2010,0,"Honduras",65,3.834605694,8.371954918,0.002443466,3.802493095,7,75.03875,151,-0.892019808,80,0.432,0.017104261,"Moderately Low","Democratic","High Debt"
"54","54",2011,0,"Honduras",65,5.886801243,8.394050598,0.00263925,4.131445408,7,76.21414,152,-0.825196505,78.3,0.464,0.01847475,"Moderately Low","Democratic","High Debt"
"55","55",2012,0,"Honduras",65,5.836094856,8.419569016,0.00304006,4.368289471,7,77.36131,151,-0.95405817,78.5,0.454,0.021280419,"Moderately Low","Democratic","High Debt"
"56","56",2006,0,"El Salvador",57,1.507073164,8.889631271,0.003948175,2.675631523,7,59.67556,150,-0.296290606,76.1,0.578,0.027637225,"Moderately Low","Democratic","High Debt"
"57","57",2007,0,"El Salvador",57,9.114346504,8.924158096,0.003883943,2.415653706,7,59.86414,151,-0.371979088,74.9,0.577,0.027187604,"Moderately Low","Democratic","High Debt"
"58","58",2008,0,"El Salvador",57,5.020602226,8.93384552,0.001085528,2.27472949,7,60.04199,156,-0.361731887,75.5,0.573,0.007598696,"Moderately Low","Democratic","High Debt"
"59","59",2009,0,"El Salvador",57,2.094864368,8.899158478,-0.003882655,3.281448603,8,60.21368,156,-0.2503784,77.2,0.617,-0.031061241,"Moderately Low","Democratic","High Debt"
"60","60",2010,0,"El Salvador",57,0,8.909910202,0.001208173,4.999186039,8,60.38306,159,-0.27694121,78.1,0.596,0.009665385,"Moderately Low","Democratic","High Debt"
"61","61",2011,0,"El Salvador",57,0.603930712,8.929039955,0.00214702,5.031304836,8,60.55208,162,-0.261907488,76,0.596,0.017176159,"Moderately Low","Democratic","High Debt"
"62","62",2012,0,"El Salvador",57,2.01123929,8.944869041,0.001772765,4.624791622,8,60.72233,157,-0.412717015,74.4,0.606,0.014182117,"Moderately Low","Democratic","High Debt"
"63","63",2006,0,"Nicaragua",67,4.240300655,8.26033783,0.003351226,3.779840469,8,54.50217,128,-0.673169076,82.4,0.627,0.026809806,"Low","Democratic","High Debt"
"64","64",2007,0,"Nicaragua",67,5.1418643,8.298758507,0.004651223,4.330023766,9,55.22119,131,-0.765121102,80,0.494,0.041861009,"Low","Democratic","High Debt"
"65","65",2008,0,"Nicaragua",67,7.382635117,8.313850403,0.001818573,4.089177132,9,55.94524,134,-0.762405813,81.7,0.471,0.016367154,"Low","Democratic","High Debt"
"66","66",2009,0,"Nicaragua",67,5.228532791,8.273070335,-0.004905076,5.036888123,9,56.66595,133,-0.724971414,82.6,0.491,-0.044145681,"Low","Democratic","High Debt"
"67","67",2010,0,"Nicaragua",67,5.593345642,8.292011261,0.002289467,5.105962753,9,57.37722,133,-0.752831519,82.5,0.476,0.020605206,"Low","Democratic","High Debt"
"68","68",2011,0,"Nicaragua",67,9.57918644,8.340324402,0.005826468,4.847060204,9,58.07787,136,-0.72658968,81.2,0.461,0.052438214,"Moderately Low","Democratic","High Debt"
"69","69",2012,0,"Nicaragua",67,7.289213181,8.378517151,0.004579288,4.730800629,9,58.77034,135,-0.774571776,79.6,0.401,0.041213594,"Moderately Low","Democratic","High Debt"
"70","70",2006,0,"Costa Rica",67,7.968885899,9.302563667,0.007571835,0,10,43.0879,131,0.444858909,49.6,0.919,0.075718343,"Moderately High","Democratic","No Debt"
"71","71",2007,0,"Costa Rica",67,8.381328583,9.364942551,0.006705558,0,10,43.69465,124,0.516526282,50.5,0.916,0.067055583,"Moderately High","Democratic","No Debt"
"72","72",2008,0,"Costa Rica",67,7.957787514,9.3782444,0.001420388,0,10,44.29506,126,0.551820815,50.9,0.908,0.014203878,"Moderately High","Democratic","No Debt"
"73","73",2009,0,"Costa Rica",67,5.283016205,9.354858398,-0.002493644,0,10,44.88261,126,0.752068281,52.5,0.908,-0.024936439,"Moderately High","Democratic","No Debt"
"74","74",2010,0,"Costa Rica",67,5.116698742,9.390590668,0.003819648,1.52910614,10,45.45273,130,0.7081604,52,0.923,0.038196485,"Moderately High","Democratic","Low Debt"
"75","75",2011,0,"Costa Rica",67,6.467331886,9.422702789,0.003419606,1.387899995,10,46.00487,130,0.648954213,50.6,0.916,0.034196064,"Moderately High","Democratic","Low Debt"
"76","76",2012,0,"Costa Rica",67,5.801836967,9.461491585,0.004116525,1.259104013,10,46.54148,130,0.618261576,49.7,0.925,0.041165255,"Moderately High","Democratic","Low Debt"
"77","77",2006,0,"Panama",67,16.22949028,9.432388306,0.006845335,1.022375822,9,33.786,110,-0.323002011,59.6,0.776,0.061608016,"Moderately High","Democratic","Low Debt"
"78","78",2007,0,"Panama",67,10.44328308,9.529177666,0.010261384,1.016285539,9,34.38398,111,-0.300416499,59.4,0.776,0.092352457,"Moderately High","Democratic","Low Debt"
"79","79",2008,0,"Panama",67,9.500757217,9.594406128,0.00684513,1.076777697,9,34.98679,113,-0.086393602,58.6,0.776,0.061606172,"Moderately High","Democratic","Low Debt"
"80","80",2009,0,"Panama",67,4.003077507,9.593056679,-0.00014065,1.604369402,9,35.59401,107,-0.295197487,59.7,0.791,-0.001265846,"Moderately High","Democratic","Low Debt"
"81","81",2010,0,"Panama",67,8.658543587,9.632106781,0.004070663,1.427604914,9,36.20506,107,-0.320766896,59.3,0.796,0.036635969,"Moderately High","Democratic","Low Debt"
"82","82",2011,0,"Panama",67,12.67246628,9.726883888,0.009839707,1.150900722,9,36.81979,105,-0.316994697,57.8,0.796,0.088557363,"Moderately High","Democratic","Low Debt"
"83","83",2012,0,"Panama",67,8.364883423,9.798528671,0.007365646,1.209211469,9,37.43761,104,-0.358022809,56.1,0.796,0.066290811,"Moderately High","Democratic","Low Debt"
"84","84",2006,0,"Colombia",76,4.15192318,9.211065292,0.005699222,2.808518887,7,438.35744,116,-0.122551002,91.8,0.522,0.039894551,"Moderately High","Democratic","High Debt"
"85","85",2007,0,"Colombia",76,4.284021854,9.265576363,0.005917998,2.293988705,7,443.74647,116,-0.215963498,89.7,0.527,0.041425988,"Moderately High","Democratic","High Debt"
"86","86",2008,0,"Colombia",76,4.329881668,9.288622856,0.002487324,2.229442835,7,449.0166,115,-0.237616807,89,0.546,0.017411271,"Moderately High","Democratic","High Debt"
"87","87",2009,0,"Colombia",76,3.436193943,9.293607712,0.000536663,2.810413599,7,454.16276,115,-0.309453011,89.2,0.546,0.003756638,"Moderately High","Democratic","High Debt"
"88","88",2010,0,"Colombia",76,2.240196705,9.321568489,0.003008603,2.614441395,7,459.18101,116,-0.385390997,88.2,0.572,0.021060221,"Moderately High","Democratic","High Debt"
"89","89",2011,0,"Colombia",76,4.366761684,9.374804497,0.005711057,2.260698318,7,464.06446,113,-0.288793713,87,0.655,0.039977398,"Moderately High","Democratic","High Debt"
"90","90",2012,0,"Colombia",76,4.068426132,9.404273033,0.003143376,2.084563732,7,468.81018,119,-0.38745141,84.4,0.647,0.022003634,"Moderately High","Democratic","High Debt"
"91","91",2006,0,"Venezuela (Bolivarian Republic of)",82,0.107915126,9.733145714,0.008015875,0,5,272.21228,56,-1.04250598,81.2,0.456,0.040079374,"Moderately High","Anocracies","No Debt"
"92","92",2007,0,"Venezuela (Bolivarian Republic of)",82,1.891788602,9.800683975,0.006938996,0,5,276.70659,59,-1.113234043,79.8,0.439,0.034694981,"Moderately High","Anocracies","No Debt"
"93","93",2008,0,"Venezuela (Bolivarian Republic of)",82,0.659274459,9.836125374,0.003616217,0,5,281.16716,50,-1.167219996,77.9,0.406,0.018081084,"Moderately High","Anocracies","No Debt"
"94","94",2009,0,"Venezuela (Bolivarian Republic of)",82,0,9.787983894,-0.004894354,0,-3,285.58607,46,-1.192175031,79.5,0.428,0.014683062,"Moderately High","Anocracies","No Debt"
"95","95",2010,0,"Venezuela (Bolivarian Republic of)",82,0.402601928,9.757793427,-0.003084442,0,-3,289.95745,45,-1.227519989,78.7,0.431,0.009253326,"Moderately High","Anocracies","No Debt"
"96","96",2011,0,"Venezuela (Bolivarian Republic of)",82,1.850025058,9.783924103,0.002677929,0,-3,294.27631,51,-1.173889041,78.2,0.418,-0.008033787,"Moderately High","Anocracies","No Debt"
"97","97",2012,0,"Venezuela (Bolivarian Republic of)",82,1.307678938,9.82426548,0.004123231,0,-3,298.54238,44,-1.268169045,77.3,0.413,-0.012369692,"Moderately High","Anocracies","No Debt"
"98","98",2006,0,"Ecuador",75,0.579950869,9.09258461,0.002903542,1.623773098,7,139.6749,107,-0.751305878,81.2,0.772,0.020324796,"Moderately Low","Democratic","Low Debt"
"99","99",2007,0,"Ecuador",75,0.380084246,9.097353935,0.000524529,1.36566627,5,142.05479,103,-0.771818876,79.9,0.727,0.002622645,"Moderately Low","Anocracies","Low Debt"
"100","100",2008,0,"Ecuador",75,1.711449027,9.142086029,0.004917045,1.010573745,5,144.476,105,-0.687103808,80.3,0.717,0.024585223,"Moderately High","Anocracies","Low Debt"
"101","101",2009,0,"Ecuador",75,0.493522763,9.131007195,-0.00121185,0.867483556,5,146.9131,101,-0.804220378,81.2,0.649,-0.006059249,"Moderately Low","Anocracies","Low Debt"
"102","102",2010,0,"Ecuador",75,0.238245189,9.149222374,0.001994871,0.655247808,5,149.34692,99,-0.773099005,81.7,0.644,0.009974354,"Moderately High","Anocracies","Low Debt"
"103","103",2011,0,"Ecuador",75,0.812406003,9.208848953,0.00651712,0,5,151.7728,100,-0.708450615,82.2,0.634,0.032585599,"Moderately High","Anocracies","No Debt"
"104","104",2012,0,"Ecuador",75,0.64539808,9.247900963,0.004240705,0,5,154.19493,100,-0.578062117,80.1,0.626,0.021203524,"Moderately High","Anocracies","No Debt"
"105","105",2006,0,"Peru",76,3.910656691,8.954122543,0.00678753,2.970707417,9,279.49958,146,-0.200190395,79.2,0.798,0.061087769,"Moderately Low","Democratic","High Debt"
"106","106",2007,0,"Peru",76,5.374286652,9.023681641,0.007768388,2.592306614,9,282.92768,144,-0.246270597,76.4,0.764,0.069915488,"Moderately Low","Democratic","High Debt"
"107","107",2008,0,"Peru",76,5.743357182,9.098901749,0.008335856,2.249471188,9,286.42048,139,-0.186953902,77.5,0.76,0.075022705,"Moderately Low","Democratic","High Debt"
"108","108",2009,0,"Peru",76,5.322375298,9.096865654,-0.000223774,2.355605602,9,290.01563,138,-0.305230111,77.1,0.745,-0.002013963,"Moderately Low","Democratic","High Debt"
"109","109",2010,0,"Peru",76,5.730826378,9.165244102,0.007516704,2.009816647,9,293.73644,136,-0.228810802,76.9,0.784,0.067650333,"Moderately High","Democratic","High Debt"
"110","110",2011,0,"Peru",76,4.274013519,9.214706421,0.005396727,1.591065645,9,297.59891,133,-0.219959095,73.6,0.791,0.048570544,"Moderately High","Democratic","Low Debt"
"111","111",2012,0,"Peru",76,6.119001389,9.259192467,0.004827722,1.263971329,9,301.58768,133,-0.370449901,73.5,0.759,0.043449502,"Moderately High","Democratic","Low Debt"
"112","112",2006,0,"Brazil",88,1.749493361,9.438127518,0.002923972,0.875209749,8,1906.9824,88,-0.109041601,63.1,0.871,0.023391778,"Moderately High","Democratic","Low Debt"
"113","113",2007,0,"Brazil",88,3.190894842,9.485515594,0.005020919,0.692609012,8,1927.8452,88,-0.075929098,66.9,0.878,0.040167354,"Moderately High","Democratic","Low Debt"
"114","114",2008,0,"Brazil",88,2.99066329,9.524060249,0.004063528,0.62923795,8,1947.697,89,0.00789,67.6,0.878,0.032508221,"Moderately High","Democratic","Low Debt"
"115","115",2009,0,"Brazil",88,1.888455868,9.512189865,-0.001246358,0.60379231,8,1967.013,91,-0.069308601,69.1,0.878,-0.009970861,"Moderately High","Democratic","Low Debt"
"116","116",2010,0,"Brazil",88,4.004401207,9.575762749,0.006683307,0.612224638,8,1986.1421,88,0.04628,67.4,0.879,0.053466454,"Moderately High","Democratic","Low Debt"
"117","117",2011,0,"Brazil",88,3.866591215,9.604483604,0.002999328,0,8,2005.1758,88,0.165902093,65.1,0.883,0.023994626,"Moderately High","Democratic","No Debt"
"118","118",2012,0,"Brazil",88,3.513179541,9.61297226,0.000883822,0,8,2024.0158,89,-0.037277099,64.1,0.882,0.007070577,"Moderately High","Democratic","No Debt"
"119","119",2006,0,"Bolivia (Plurinational State of)",65,2.451682329,8.434955597,0.003533081,2.037545204,8,92.83345,108,-0.434567213,82.9,0.791,0.028264651,"Moderately Low","Democratic","High Debt"
"120","120",2007,0,"Bolivia (Plurinational State of)",65,2.791837931,8.462697029,0.003288865,1.975940347,8,94.41482,106,-0.40370661,82,0.76,0.026310923,"Moderately Low","Democratic","Low Debt"
"121","121",2008,0,"Bolivia (Plurinational State of)",65,3.072601795,8.505723953,0.005084304,1.688860059,8,95.99916,104,-0.52322191,84.2,0.719,0.040674433,"Moderately Low","Democratic","Low Debt"
"122","122",2009,0,"Bolivia (Plurinational State of)",65,2.439678192,8.522330284,0.001952371,1.824798942,7,97.58799,103,-0.630316675,86.3,0.716,0.013666598,"Moderately Low","Democratic","Low Debt"
"123","123",2010,0,"Bolivia (Plurinational State of)",65,3.165443659,8.546561241,0.002843231,1.807183981,7,99.18245,102,-0.465761304,84.9,0.731,0.01990262,"Moderately Low","Democratic","Low Debt"
"124","124",2011,0,"Bolivia (Plurinational State of)",65,3.584442139,8.581290245,0.004063506,1.648839712,7,100.78238,99,-0.569419503,82.9,0.73,0.028444543,"Moderately Low","Democratic","Low Debt"
"125","125",2012,0,"Bolivia (Plurinational State of)",65,3.913550138,8.615442276,0.003979824,1.635526061,7,102.38762,99,-0.729200125,82.1,0.73,0.027858771,"Moderately Low","Democratic","Low Debt"
"126","126",2006,0,"Paraguay",60,1.764016628,8.734061241,0.003677352,2.381685495,8,58.82797,95,-1.140730977,72,0.605,0.029418817,"Moderately Low","Democratic","High Debt"
"127","127",2007,0,"Paraguay",60,0.761150301,8.772787094,0.004433888,1.770776272,8,59.6616,94,-1.183495045,72.9,0.605,0.035471108,"Moderately Low","Democratic","Low Debt"
"128","128",2008,0,"Paraguay",60,1.82584095,8.820958138,0.005490962,1.242128015,8,60.47131,96,-0.977196574,72.3,0.648,0.043927699,"Moderately Low","Democratic","Low Debt"
"129","129",2009,0,"Paraguay",60,0.16894643,8.767233849,-0.006090527,1.857199073,8,61.27847,93,-0.803635895,72,0.63,-0.048724219,"Moderately Low","Democratic","Low Debt"
"130","130",2010,0,"Paraguay",60,2.773486614,8.876976013,0.012517308,1.349834561,8,62.09877,91,-0.729034126,72.1,0.622,0.100138463,"Moderately Low","Democratic","Low Debt"
"131","131",2011,0,"Paraguay",60,1.848605156,8.906065941,0.003277009,1.022606611,8,62.93763,91,-0.715760887,72.4,0.682,0.026216069,"Moderately Low","Democratic","Low Debt"
"132","132",2012,0,"Paraguay",60,2.956432343,8.880121231,-0.00291315,1.389597774,8,63.79162,93,-0.857523322,70.9,0.598,-0.023305204,"Moderately Low","Democratic","Low Debt"
"133","133",2006,0,"Chile",79,4.901019096,9.758711815,0.004536082,0,10,162.79728,81,1.457342982,32,0.901,0.045360819,"Moderately High","Democratic","No Debt"
"134","134",2007,0,"Chile",79,7.761692047,9.797855377,0.00401114,0,10,164.62701,78,1.396430969,33.8,0.898,0.0401114,"Moderately High","Democratic","No Debt"
"135","135",2008,0,"Chile",79,10.28348732,9.819181442,0.002176605,0,10,166.4594,77,1.376726985,36.3,0.898,0.021766054,"Moderately High","Democratic","No Debt"
"136","136",2009,0,"Chile",79,8.03710556,9.797768593,-0.002180716,0,10,168.29957,77,1.380126953,37.5,0.897,-0.021807162,"Moderately High","Democratic","No Debt"
"137","137",2010,0,"Chile",79,7.330402851,9.842773438,0.004593377,0,10,170.15048,77,1.497288942,38,0.881,0.045933768,"Moderately High","Democratic","No Debt"
"138","138",2011,0,"Chile",79,9.573600769,9.888641357,0.004660061,0,10,172.01305,76,1.528442979,40.7,0.892,0.046600606,"Moderately High","Democratic","No Debt"
"139","139",2012,0,"Chile",79,11.34033108,9.930955887,0.004279105,0,10,173.88437,76,1.582224011,43.5,0.898,0.042791046,"Moderately High","Democratic","No Debt"
"140","140",2006,0,"Argentina",80,2.38106513,9.677015305,0.007278811,2.668431759,8,395.5875,57,-0.341253698,40.8,0.822,0.058230486,"Moderately High","Democratic","High Debt"
"141","141",2007,0,"Argentina",80,2.251291513,9.743317604,0.006851524,1.97337079,8,399.69903,56,-0.340291589,41.4,0.8,0.054812189,"Moderately High","Democratic","Low Debt"
"142","142",2008,0,"Argentina",80,2.689902782,9.763350487,0.002056064,1.402047157,8,403.8186,55,-0.435576499,41.4,0.783,0.016448511,"Moderately High","Democratic","Low Debt"
"143","143",2009,0,"Argentina",80,1.206439257,9.753582001,-0.001000526,1.59316206,8,407.98641,53,-0.444996089,44.7,0.786,-0.008004208,"Moderately High","Democratic","Low Debt"
"144","144",2010,0,"Argentina",80,2.6751616,9.8335495,0.008198783,1.262741446,8,412.22875,53,-0.361469209,45.8,0.754,0.065590262,"Moderately High","Democratic","Low Debt"
"145","145",2011,0,"Argentina",80,2.044640064,9.903639793,0.00712767,1.047742486,8,416.55616,56,-0.366157889,46.8,0.771,0.057021357,"Moderately High","Democratic","Low Debt"
"146","146",2012,0,"Argentina",80,2.806671858,9.901126862,-0.000253738,1.030251026,8,420.95224,55,-0.443139911,46.5,0.781,-0.002029906,"Moderately High","Democratic","Low Debt"
"147","147",2006,0,"Uruguay",67,7.703738689,9.469834328,0.004086079,0,10,33.31041,37,1.114513993,41.2,0.903,0.040860791,"Moderately High","Democratic","No Debt"
"148","148",2007,0,"Uruguay",67,5.803944111,9.530587196,0.00641541,0,10,33.3975,38,1.243985057,40.9,0.903,0.064154103,"Moderately High","Democratic","No Debt"
"149","149",2008,0,"Uruguay",67,7.053791523,9.596577644,0.006924069,0,10,33.50832,30,1.308400989,41.4,0.903,0.069240697,"Moderately High","Democratic","No Debt"
"150","150",2009,0,"Uruguay",67,5.061736107,9.634584427,0.003960452,0,10,33.62761,29,1.238402963,41.2,0.908,0.039604515,"Moderately High","Democratic","No Debt"
"151","151",2010,0,"Uruguay",67,5.438987732,9.706263542,0.007439773,0,10,33.74414,34,1.279332995,41.3,0.929,0.074397728,"Moderately High","Democratic","No Debt"
"152","152",2011,0,"Uruguay",67,5.608751774,9.753285408,0.004844487,0,10,33.8561,32,1.27888,NA,0.929,0.048444867,"Moderately High","Democratic","No Debt"
